date,kind,home,away,score,max_odd_home,mean_odd_home,max_odd_draw,mean_odd_draw,max_odd_away,mean_odd_away
2016-07-10 21:00:00,Play Offs,Portugal,France,1:0 ET,4.5,4.25,3.2,3.07,2.22,2.16
2016-07-07 21:00:00,Play Offs,Germany,France,0:2,3.11,2.98,3.08,2.99,2.9,2.82
2016-07-06 21:00:00,Play Offs,Portugal,Wales,2:0,2.26,2.18,3.22,3.12,4.33,4.08
2016-07-03 21:00:00,Play Offs,France,Iceland,5:2,1.44,1.42,5.3,4.93,9.35,8.37
2016-07-02 21:00:00,Play Offs,Germany,Italy,2:1 pen.,2.3,2.27,3.15,3.03,3.95,3.87
2016-07-01 21:00:00,Play Offs,Wales,Belgium,3:1,5.1,4.95,3.5,3.35,1.92,1.9
2016-06-30 21:00:00,Play Offs,Poland,Portugal,1:2 pen.,3.82,3.72,3.03,2.93,2.42,2.4
2016-06-27 21:00:00,Play Offs,England,Iceland,1:2,1.49,1.46,4.33,4.23,9.8,9.27
2016-06-27 18:00:00,Play Offs,Italy,Spain,2:0,4.75,4.53,2.98,2.93,2.23,2.15
2016-06-26 21:00:00,Play Offs,Hungary,Belgium,0:4,7.61,7.1,3.72,3.63,1.65,1.64
2016-06-26 18:00:00,Play Offs,Germany,Slovakia,3:0,1.44,1.42,4.37,4.23,12.5,11.09
2016-06-26 15:00:00,Play Offs,France,Ireland,2:1,1.55,1.53,3.92,3.75,10.0,9.14
2016-06-25 21:00:00,Play Offs,Croatia,Portugal,0:1 ET,2.89,2.83,3.12,3.01,3.13,2.93
2016-06-25 18:00:00,Play Offs,Wales,Northern Ireland,1:0,2.06,2.03,3.04,2.97,5.4,5.08
2016-06-25 15:00:00,Play Offs,Switzerland,Poland,1:2 pen.,3.1,3.03,2.91,2.87,2.94,2.87
2016-06-22 21:00:00,,Italy,Ireland,0:1,2.35,2.29,3.2,3.13,4.0,3.7
2016-06-22 21:00:00,,Sweden,Belgium,0:1,5.4,4.99,3.4,3.35,1.93,1.9
2016-06-22 18:00:00,,Hungary,Portugal,3:3,11.0,9.47,4.3,4.05,1.52,1.48
2016-06-22 18:00:00,,Iceland,Austria,2:1,3.78,3.69,3.23,3.17,2.33,2.26
2016-06-21 21:00:00,,Croatia,Spain,2:1,5.7,5.35,3.13,3.08,1.96,1.94
2016-06-21 21:00:00,,Czech Republic,Turkey,0:2,2.46,2.36,3.76,3.6,3.16,3.07
2016-06-21 18:00:00,,Northern Ireland,Germany,0:1,16.0,13.7,5.0,4.77,1.36,1.34
2016-06-21 18:00:00,,Ukraine,Poland,0:1,4.8,4.55,3.3,3.2,2.06,2.01
2016-06-20 21:00:00,,Russia,Wales,0:3,2.7,2.63,3.15,3.06,3.2,3.11
2016-06-20 21:00:00,,Slovakia,England,0:0,6.4,5.81,3.25,3.18,1.86,1.84
2016-06-19 21:00:00,,Romania,Albania,0:1,2.16,2.07,3.62,3.5,4.05,3.87
